date,NDVI,region
2022-01-01,0.0785,Kunene
2022-01-17,0.0689,Kunene
2022-02-02,0.088,Kunene
2022-02-18,0.1641,Kunene
2022-03-06,0.1645,Kunene
2022-03-22,0.2717,Kunene
2022-04-07,0.1729,Kunene
2022-04-23,0.1634,Kunene
2022-05-09,0.1445,Kunene
2022-05-25,0.1187,Kunene
2022-06-10,0.128,Kunene
2022-06-26,0.1212,Kunene
2022-07-12,0.115,Kunene
2022-07-28,0.1255,Kunene
2022-08-13,0.1105,Kunene
2022-08-29,0.1201,Kunene
2022-09-14,0.1232,Kunene
2022-09-30,0.1073,Kunene
2022-10-16,0.1039,Kunene
2022-11-01,0.1067,Kunene
2022-11-17,0.1062,Kunene
2022-12-03,0.1092,Kunene
2022-12-19,0.101,Kunene
2023-01-01,0.1064,Kunene
2023-01-17,0.0982,Kunene
2023-02-02,0.0956,Kunene
2022-01-01,0.1449,Oshana
2022-01-17,0.1944,Oshana
2022-02-02,0.2808,Oshana
2022-02-18,0.2943,Oshana
2022-03-06,0.2601,Oshana
2022-03-22,0.3531,Oshana
2022-04-07,0.2929,Oshana
2022-04-23,0.2114,Oshana
2022-05-09,0.2098,Oshana
2022-05-25,0.1879,Oshana
2022-06-10,0.2189,Oshana
2022-06-26,0.1846,Oshana
2022-07-12,0.1731,Oshana
2022-07-28,0.1711,Oshana
2022-08-13,0.1826,Oshana
2022-08-29,0.1559,Oshana
2022-09-14,0.1712,Oshana
2022-09-30,0.1492,Oshana
2022-10-16,0.1912,Oshana
2022-11-01,0.1507,Oshana
2022-11-17,0.1689,Oshana
2022-12-03,0.1374,Oshana
2022-12-19,0.1742,Oshana
2023-01-01,0.1785,Oshana
2023-01-17,0.2749,Oshana
2023-02-02,0.283,Oshana
2022-01-01,0.5362,Kavango West
2022-01-17,0.6374,Kavango West
2022-02-02,0.6652,Kavango West
2022-02-18,0.6449,Kavango West
2022-03-06,0.7265,Kavango West
2022-03-22,0.6425,Kavango West
2022-04-07,0.661,Kavango West
2022-04-23,0.5051,Kavango West
2022-05-09,0.4558,Kavango West
2022-05-25,0.3994,Kavango West
2022-06-10,0.3701,Kavango West
2022-06-26,0.3423,Kavango West
